GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.controllers,FlightController,4,3,0,0,1,1,1,1,1,1
demo,com.example.demo.controllers,HotelController,20,3,0,0,3,1,3,1,3,1
demo,com.example.demo.exceptions,DateFormatInvalidException,19,0,0,0,7,0,1,0,1,0
demo,com.example.demo.exceptions,HotelException,17,0,0,0,4,0,5,0,5,0
demo,com.example.demo.exceptions,CheckInGreaterThanCheckOutException,19,0,0,0,7,0,1,0,1,0
demo,com.example.demo.exceptions,DestinationNoExistsException,19,0,0,0,7,0,1,0,1,0
demo,com.example.demo.exceptions,CheckOutBeforeCheckInException,19,0,0,0,7,0,1,0,1,0
demo,com.example.demo.utils,HotelValidator,29,0,4,0,9,0,4,0,2,0
demo,com.example.demo.utils,Utils,3,44,0,8,1,6,1,5,1,1
demo,com.example.demo.utils,DateUtils,68,0,0,0,22,0,4,0,4,0
demo,com.example.demo.repositories,HotelRepositoryImpl,120,147,14,6,20,33,13,7,6,4
demo,com.example.demo.repositories,FlightRepositoryImpl,21,105,0,2,10,24,1,3,1,2
demo,com.example.demo.services,FlightServiceImpl,4,3,0,0,1,1,1,1,1,1
demo,com.example.demo.services,HotelServiceImpl,86,3,20,0,27,1,14,1,4,1
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo.dto,StatusDTO,23,0,0,0,4,0,5,0,5,0
demo,com.example.demo.dto,HotelPayloadDTO,3,0,0,0,1,0,1,0,1,0
demo,com.example.demo.dto,FlightDTO,24,35,0,0,8,2,8,9,8,9
demo,com.example.demo.dto,UserDTO,38,0,0,0,7,0,11,0,11,0
demo,com.example.demo.dto,BookingDTO,3,0,0,0,1,0,1,0,1,0
demo,com.example.demo.dto,HotelDTO,24,42,0,0,8,3,8,11,8,11
demo,com.example.demo.dto,HotelParamDTO,164,0,30,0,7,0,28,0,13,0
demo,com.example.demo.dto,ErrorDTO,17,0,0,0,4,0,5,0,5,0
demo,com.example.demo.dto,PaymentDTO,3,0,0,0,1,0,1,0,1,0
demo,com.example.demo.dto,HotelResponsePayloadDTO,45,0,0,0,8,0,13,0,13,0
